date,brand,category,gender,department,revenue,return_value,net_revenue,return_rate,Orders,Customers,AOV
12-02-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
17-05-2025,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
01-10-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
07-09-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
11-05-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
09-01-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
28-09-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
31-12-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
03-01-2025,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
23-03-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
11-10-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
08-02-2025,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
01-08-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
11-03-2025,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
17-04-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
13-04-2025,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
28-02-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
02-07-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
20-11-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
02-04-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
24-01-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
27-11-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
16-03-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
01-09-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
28-02-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
01-12-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
23-02-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
30-04-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
03-02-2025,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
03-11-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
29-01-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
31-03-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
04-03-2025,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
11-05-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
28-05-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
04-05-2025,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
28-12-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
17-04-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
21-06-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
26-07-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
26-03-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
07-10-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
19-04-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
25-02-2025,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
12-08-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
02-05-2025,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
14-01-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
10-09-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
02-09-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
06-05-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
18-12-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
11-03-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
29-06-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
27-12-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
03-07-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
18-02-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
04-05-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
06-09-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
04-03-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
25-01-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
16-08-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
03-02-2025,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
28-12-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
22-06-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
30-12-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
03-03-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
15-02-2025,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
02-04-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
16-11-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
07-12-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
13-03-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
24-08-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
19-06-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
22-12-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
14-06-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
23-08-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
18-05-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
20-07-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
30-04-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
09-02-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
21-09-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
21-03-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
29-08-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
30-01-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
05-09-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
11-04-2025,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
20-01-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
27-03-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
29-07-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
18-06-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
18-03-2025,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
22-11-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
22-01-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
14-08-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
24-07-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
06-04-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
27-04-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
27-08-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
21-08-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
24-01-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
11-12-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
20-04-2025,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
22-02-2025,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
08-07-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
30-03-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
05-01-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
10-01-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
18-05-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
11-07-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
09-12-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
07-04-2025,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
28-10-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
09-03-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
14-11-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
15-08-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
09-02-2025,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
10-05-2025,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
22-11-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
16-06-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
19-10-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
15-12-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
13-03-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
30-12-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
13-03-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
23-02-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
13-05-2025,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
18-06-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
25-12-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
27-05-2025,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
26-07-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
03-03-2025,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
03-11-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
26-12-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
06-08-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
24-11-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
16-09-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
29-01-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
04-08-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
03-11-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
05-02-2025,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
15-03-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
18-02-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
03-09-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
24-08-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
05-05-2025,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
24-06-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
24-01-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
29-10-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
24-08-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
10-08-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
16-02-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
05-06-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
16-04-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
11-10-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
23-01-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
23-08-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
23-10-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
25-03-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
07-02-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
20-03-2025,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
11-10-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
13-02-2025,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
29-03-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
16-01-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
05-03-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
07-11-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
11-09-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
27-05-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
29-05-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
21-06-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
17-04-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
12-05-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
01-10-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
08-07-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
08-05-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
29-07-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
31-08-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
24-02-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
12-09-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
29-08-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
14-07-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
11-07-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
28-03-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
31-01-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
26-05-2025,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
04-05-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
27-01-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
19-02-2025,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
06-07-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
29-04-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
23-02-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
05-02-2025,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
08-07-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
22-11-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
04-10-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
21-02-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
13-06-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
06-12-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
13-04-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
04-10-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
04-10-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
03-11-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
